fold,segment_type,segment_value,n,cluster_mape,temporal_mape,winner,temporal_minus_cluster_mape
10,volatility_bucket,1,4123,5.792678986205474,5.613688639914606,temporal,-0.17899034629086774
10,volatility_bucket,2,4123,5.544706339945483,5.413359058346631,temporal,-0.13134728159885167
10,volatility_bucket,3,4123,5.293123841070389,5.203880248634542,temporal,-0.08924359243584679
10,volatility_bucket,4,4123,9.130471258706818,8.64692968955647,temporal,-0.4835415691503471
10,trend_bucket,0,8841,6.641858982846037,6.48876272692929,temporal,-0.15309625591674703
10,trend_bucket,1,3451,5.585783392627315,5.556407864267048,temporal,-0.02937552836026658
10,trend_bucket,2,2815,5.953287166007682,5.7923403736637455,temporal,-0.16094679234393627
10,trend_bucket,3,2439,6.505851859038299,6.208589605196073,temporal,-0.29726225384222627
10,trend_bucket,4,3069,6.807947595967622,6.220303915773886,temporal,-0.5876436801937359
10,outlier_bucket,0,8039,5.996877316557047,5.831240027507099,temporal,-0.1656372890499478
10,outlier_bucket,1,5672,5.560234035539757,5.430373963968411,temporal,-0.12986007157134605
10,outlier_bucket,2,3351,5.048610001912582,4.962049367678261,temporal,-0.08656063423432148
10,outlier_bucket,3,3553,9.809356788639645,9.224421218397383,temporal,-0.5849355702422621
10,Регион,Алтайский край,131,8.40959294518151,8.509359811024424,cluster,0.0997668658429145
10,Регион,Архангельская обл,146,5.720419902104928,5.3899810319148385,temporal,-0.3304388701900898
10,Регион,Астраханская обл,138,5.475655761135937,5.296690377163787,temporal,-0.1789653839721499
10,Регион,Башкортостан Респ,615,5.212671776260491,5.18490803967477,temporal,-0.027763736585720622
10,Регион,Белгородская обл,235,5.469099576368784,5.5355724194906655,cluster,0.06647284312188173
10,Регион,Брянская обл,228,3.970462725566662,3.9483391952026063,temporal,-0.022123530364055455
10,Регион,Владимирская обл,294,4.983219973297857,4.746573064954824,temporal,-0.23664690834303226
10,Регион,Волгоградская обл,255,6.13046529267167,6.204279950493799,cluster,0.07381465782212882
10,Регион,Вологодская обл,204,6.1431811398477,5.861171353025298,temporal,-0.2820097868224023
10,Регион,Воронежская обл,455,4.925669551167842,4.827976024582962,temporal,-0.09769352658488017
10,Регион,Ивановская обл,170,5.0115224440672,4.761824608139603,temporal,-0.24969783592759676
10,Регион,Калужская обл,231,4.942221681086222,4.692814293387532,temporal,-0.24940738769868975
10,Регион,Карелия Респ,125,5.778876926400393,5.2773344134398235,temporal,-0.5015425129605697
10,Регион,Кемеровская область - Кузбасс обл,268,6.6249047647811015,6.655965501604806,cluster,0.03106073682370436
10,Регион,Кировская обл,189,5.8584430898690325,5.750133828995661,temporal,-0.10830926087337112
10,Регион,Коми Респ,114,5.970698805432522,5.689511089669233,temporal,-0.2811877157632887
10,Регион,Краснодарский край,1039,12.904892593235196,12.358213245241817,temporal,-0.5466793479933791
10,Регион,Красноярский край,183,7.0712969210753265,6.887929916935594,temporal,-0.18336700413973261
10,Регион,Курская обл,199,6.962155493742051,6.88274178589764,temporal,-0.07941370784441126
10,Регион,Ленинградская обл,428,7.3943463420925655,6.862422518501944,temporal,-0.5319238235906214
10,Регион,Липецкая обл,282,5.183717817780101,5.124363627429247,temporal,-0.0593541903508541
10,Регион,Марий Эл Респ,104,5.304443324678065,5.2759955596968515,temporal,-0.028447764981213375
10,Регион,Москва г,1423,6.520170978455618,5.99220625405098,temporal,-0.5279647244046384
10,Регион,Московская обл,1930,6.791280483899759,6.356255007461434,temporal,-0.4350254764383248
10,Регион,Мурманская обл,165,7.768396443352117,7.215692277450163,temporal,-0.5527041659019538
10,Регион,Нижегородская обл,688,5.992379268353773,5.751460549629381,temporal,-0.24091871872439174
10,Регион,Новгородская обл,114,4.913447326390596,4.790379599864571,temporal,-0.12306772652602493
10,Регион,Новосибирская обл,337,6.646933168557877,6.514309405264823,temporal,-0.13262376329305336
10,Регион,Омская обл,208,5.923448750076986,5.832078190071728,temporal,-0.09137056000525767
10,Регион,Оренбургская обл,326,6.215513573919507,6.171289979685017,temporal,-0.04422359423448974
10,Регион,Орловская обл,152,4.122903094479101,4.044419138042667,temporal,-0.07848395643643435
10,Регион,Пензенская обл,163,5.605354880215478,5.70359632754623,cluster,0.09824144733075268
10,Регион,Пермский край,555,6.175876484819403,6.051888321165199,temporal,-0.12398816365420373
10,Регион,Псковская обл,138,7.47680105915236,7.350308674196902,temporal,-0.12649238495545845
10,Регион,Ростовская обл,795,4.446635257186972,4.429323452269031,temporal,-0.0173118049179406
10,Регион,Рязанская обл,256,5.121423765781322,4.663108063064576,temporal,-0.45831570271674593
10,Регион,Самарская обл,677,6.329111064193256,6.215224947549736,temporal,-0.11388611664352055
10,Регион,Санкт-Петербург г,525,7.891706800137947,7.404533376052089,temporal,-0.4871734240858583
10,Регион,Саратовская обл,425,6.636193499400298,6.625852829652206,temporal,-0.01034066974809189
10,Регион,Свердловская обл,763,5.941595979865758,5.824906736767024,temporal,-0.11668924309873407
10,Регион,Смоленская обл,174,4.379419513872097,4.2429261136136756,temporal,-0.13649340025842172
10,Регион,Ставропольский край,386,4.961236769170162,4.965528084944856,cluster,0.0042913157746946595
10,Регион,Тамбовская обл,203,5.035966289767789,5.078585480302096,cluster,0.04261919053430763
10,Регион,Татарстан Респ,857,5.718123193284627,5.642329890418102,temporal,-0.07579330286652475
10,Регион,Тверская обл,263,5.311061985519904,4.982452398501824,temporal,-0.3286095870180805
10,Регион,Тульская обл,272,4.998746056034751,4.858316176106605,temporal,-0.1404298799281456
10,Регион,Тюменская обл,217,6.040393403810169,6.0207177771610185,temporal,-0.01967562664915068
10,Регион,Удмуртская Респ,246,6.342352317829068,6.274207098904254,temporal,-0.06814521892481373
10,Регион,Ульяновская обл,189,5.982882886011471,6.0217380144347095,cluster,0.03885512842323813
10,Регион,Ханты-Мансийский Автономный округ - Югра АО,181,8.234054042961253,7.747906683268966,temporal,-0.4861473596922865
10,Регион,Челябинская обл,618,5.94064499957559,5.868461096244528,temporal,-0.07218390333106228
10,Регион,Чувашская Республика - Чувашия,180,5.817545799639371,5.793455001718461,temporal,-0.024090797920909957
